Category,Title,URL,Completed?
Places and infrastructure,Kabul synagogue,https://en.wikipedia.org/wiki/Kabul_synagogue,
Places and infrastructure,Kai Tak Airport,https://en.wikipedia.org/wiki/Kai_Tak_Airport,
Places and infrastructure,Karni Mata Temple,https://en.wikipedia.org/wiki/Karni_Mata_Temple,
Places and infrastructure,Khewra Salt Mine,https://en.wikipedia.org/wiki/Khewra_Salt_Mine,
Places and infrastructure,Kijong-dong,https://en.wikipedia.org/wiki/Kijong-dong,
Places and infrastructure,Daeseong-dong,https://en.wikipedia.org/wiki/Daeseong-dong,
Places and infrastructure,Korea Central Zoo,https://en.wikipedia.org/wiki/Korea_Central_Zoo,
Places and infrastructure,Kowloon Walled City,https://en.wikipedia.org/wiki/Kowloon_Walled_City,
Places and infrastructure,Li's field,https://en.wikipedia.org/wiki/Li's_field,
Places and infrastructure,Living root bridge,https://en.wikipedia.org/wiki/Living_root_bridge,
Places and infrastructure,Love Land,https://en.wikipedia.org/wiki/Love_Land_(South_Korea),
Places and infrastructure,Maijishan Grottoes,https://en.wikipedia.org/wiki/Maijishan_Grottoes,
Places and infrastructure,Masuleh,https://en.wikipedia.org/wiki/Masuleh,
Places and infrastructure,Missing Post Office,https://en.wikipedia.org/wiki/Missing_Post_Office,
Places and infrastructure,Modern Toilet Restaurant,https://en.wikipedia.org/wiki/Modern_Toilet_Restaurant,
Places and infrastructure,Nahwa,https://en.wikipedia.org/wiki/Nahwa,
Places and infrastructure,Nakhchivan Autonomous Republic,https://en.wikipedia.org/wiki/Nakhchivan_Autonomous_Republic,
Places and infrastructure,Nanjie,https://en.wikipedia.org/wiki/Nanjie,
Places and infrastructure,National Fisheries Development Board,https://en.wikipedia.org/wiki/National_Fisheries_Development_Board,
Places and infrastructure,North Sentinel Island,https://en.wikipedia.org/wiki/North_Sentinel_Island,
Places and infrastructure,National Route 339,https://en.wikipedia.org/wiki/National_Route_339,
Places and infrastructure,Neutrality Monument,https://en.wikipedia.org/wiki/Neutrality_Monument,
Places and infrastructure,Okinoshima (Fukuoka),https://en.wikipedia.org/wiki/Okinoshima_(Fukuoka),
Places and infrastructure,Ōkunoshima,https://en.wikipedia.org/wiki/%C5%8Ckunoshima,
Places and infrastructure,Om Banna,https://en.wikipedia.org/wiki/Om_Banna,
Places and infrastructure,Omsk Metro,https://en.wikipedia.org/wiki/Omsk_Metro,
Places and infrastructure,Peanut Hole,https://en.wikipedia.org/wiki/Peanut_Hole,
Places and infrastructure,Porcelain Palace,https://en.wikipedia.org/wiki/Porcelain_Palace,
Places and infrastructure,Rednaxela Terrace,https://en.wikipedia.org/wiki/Rednaxela_Terrace,
Places and infrastructure,Robot Building,https://en.wikipedia.org/wiki/Robot_Building,
Places and infrastructure,Roopkund,https://en.wikipedia.org/wiki/Roopkund,
Places and infrastructure,Ryugyong Hotel,https://en.wikipedia.org/wiki/Ryugyong_Hotel,
Places and infrastructure,San Serriffe,https://en.wikipedia.org/wiki/San_Serriffe,
Places and infrastructure,Sansha,https://en.wikipedia.org/wiki/Sansha,
Places and infrastructure,Kingdom of Sedang,https://en.wikipedia.org/wiki/Kingdom_of_Sedang,
Places and infrastructure,Seikan Tunnel Tappi Shakō Line,https://en.wikipedia.org/wiki/Seikan_Tunnel_Tappi_Shak%C5%8D_Line,
Places and infrastructure,Shani Shingnapur,https://en.wikipedia.org/wiki/Shani_Shingnapur,
Places and infrastructure,"Shingō, Aomori",https://en.wikipedia.org/wiki/Shing%C5%8D,_Aomori
Places and infrastructure,Snake Temple,https://en.wikipedia.org/wiki/Snake_Temple,
Places and infrastructure,Sokh District,https://en.wikipedia.org/wiki/Sokh_District,
Places and infrastructure,"Taiwan Province, People's Republic of China",https://en.wikipedia.org/wiki/Taiwan_Province,_People's_Republic_of_China
Places and infrastructure,Tashirojima,https://en.wikipedia.org/wiki/Tashirojima,
Places and infrastructure,Thames Town,https://en.wikipedia.org/wiki/Thames_Town,
Places and infrastructure,The Line (Saudi Arabia),https://en.wikipedia.org/wiki/The_Line_(Saudi_Arabia),
Places and infrastructure,The world's smallest park,https://en.wikipedia.org/wiki/Mill_Ends_Park,
Places and infrastructure,Thimmamma Marrimanu,https://en.wikipedia.org/wiki/Thimmamma_Marrimanu,
Places and infrastructure,Tomb of Suleyman Shah,https://en.wikipedia.org/wiki/Tomb_of_Suleyman_Shah,
Places and infrastructure,Trunyan,https://en.wikipedia.org/wiki/Trunyan,
Places and infrastructure,Tsu Station,https://en.wikipedia.org/wiki/Tsu_Station,
Places and infrastructure,Underground City (Beijing),https://en.wikipedia.org/wiki/Underground_City_(Beijing),
Places and infrastructure,Villaggio Mall,https://en.wikipedia.org/wiki/Villaggio_Mall,
Places and infrastructure,Wang Saen Suk,https://en.wikipedia.org/wiki/Wang_Saen_Suk,
Places and infrastructure,Wonderland Amusement Park,https://en.wikipedia.org/wiki/Wonderland_Amusement_Park_(Beijing),
Places and infrastructure,X-Seed 4000,https://en.wikipedia.org/wiki/X-Seed_4000,
Places and infrastructure,Yongning Pagoda,https://en.wikipedia.org/wiki/Yongning_Pagoda,
Places and infrastructure,Zhangye National Geopark,https://en.wikipedia.org/wiki/Zhangye_National_Geopark,
Places and infrastructure,Zheltuga Republic,https://en.wikipedia.org/wiki/Zheltuga_Republic,
Places and infrastructure,"Workers of the galaxy, unite!",https://en.wikipedia.org/wiki/Workers_of_the_galaxy,_unite!
Places and infrastructure,Ängelholm UFO memorial,https://en.wikipedia.org/wiki/%C3%84ngelholm_UFO_Memorial,
Places and infrastructure,Argleton,https://en.wikipedia.org/wiki/Argleton,
Places and infrastructure,Baarle-Hertog,https://en.wikipedia.org/wiki/Baarle-Hertog,
Places and infrastructure,Baarle-Nassau,https://en.wikipedia.org/wiki/Baarle-Nassau,
Places and infrastructure,Barack Obama Plaza,https://en.wikipedia.org/wiki/Barack_Obama_Plaza,
Places and infrastructure,Barcelona Supercomputing Center,https://en.wikipedia.org/wiki/Barcelona_Supercomputing_Center,
Places and infrastructure,Barentsburg,https://en.wikipedia.org/wiki/Barentsburg,
Places and infrastructure,Barra Airport,https://en.wikipedia.org/wiki/Barra_Airport,
Places and infrastructure,Battersea Power Station tube station,https://en.wikipedia.org/wiki/Battersea_Power_Station_tube_station,
Places and infrastructure,Beans and Bacon mine,https://en.wikipedia.org/wiki/Beans_and_Bacon_mine,
Places and infrastructure,Berlin Brandenburg Airport,https://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport,
Places and infrastructure,Bielefeld conspiracy,https://en.wikipedia.org/wiki/Bielefeld_conspiracy,
Places and infrastructure,Brennender Berg,https://en.wikipedia.org/wiki/Brennender_Berg,
Places and infrastructure,The Broomway,https://en.wikipedia.org/wiki/The_Broomway,
Places and infrastructure,Brusio spiral viaduct,https://en.wikipedia.org/wiki/Brusio_spiral_viaduct,
Places and infrastructure,Bucket Lake,https://en.wikipedia.org/wiki/Bucket_Lake,
Places and infrastructure,Bunkers in Albania,https://en.wikipedia.org/wiki/Bunkers_in_Albania,
Places and infrastructure,Büsingen am Hochrhein,https://en.wikipedia.org/wiki/B%C3%BCsingen_am_Hochrhein,
Places and infrastructure,Butt Hole Road,https://en.wikipedia.org/wiki/Butt_Hole_Road,
Places and infrastructure,Buzludzha monument,https://en.wikipedia.org/wiki/Buzludzha_monument,
Places and infrastructure,Carpatho-Ukraine,https://en.wikipedia.org/wiki/Carpatho-Ukraine,
Places and infrastructure,Cerne Abbas Giant,https://en.wikipedia.org/wiki/Cerne_Abbas_Giant,
Places and infrastructure,Clachan Bridge,https://en.wikipedia.org/wiki/Clachan_Bridge,
Places and infrastructure,Colletto Fava,https://en.wikipedia.org/wiki/Colletto_Fava,
Places and infrastructure,Cologne sewerage system,https://en.wikipedia.org/wiki/Cologne_sewerage_system,
Places and infrastructure,Couto Misto,https://en.wikipedia.org/wiki/Couto_Misto,
Places and infrastructure,Crinkley Bottom,https://en.wikipedia.org/wiki/Crinkley_Bottom,
Places and infrastructure,The Crooked House,https://en.wikipedia.org/wiki/The_Crooked_House_(pub),
Places and infrastructure,Crooked Forest,https://en.wikipedia.org/wiki/Crooked_Forest,
Places and infrastructure,Cube house,https://en.wikipedia.org/wiki/Cube_house,
Places and infrastructure,Dancing House,https://en.wikipedia.org/wiki/Dancing_House,
Places and infrastructure,Dartmouth railway station,https://en.wikipedia.org/wiki/Dartmouth_railway_station,
Places and infrastructure,Dry Bridge,https://en.wikipedia.org/wiki/Dry_Bridge_(Serbia),
Places and infrastructure,Dumb Woman's Lane,https://en.wikipedia.org/wiki/Dumb_Woman's_Lane,
Places and infrastructure,"Ebenezer Place, Wick",https://en.wikipedia.org/wiki/Ebenezer_Place,
Places and infrastructure,Eichener See,https://en.wikipedia.org/wiki/Eichener_See,
Places and infrastructure,Eurobridges Spijkenisse,https://en.wikipedia.org/wiki/Eurobridges_Spijkenisse,
Places and infrastructure,Father Pat Noise plaque,https://en.wikipedia.org/wiki/Father_Pat_Noise_plaque,
Places and infrastructure,Ferdinand Cheval,https://en.wikipedia.org/wiki/Ferdinand_Cheval,
Places and infrastructure,Ferdinandea Island,https://en.wikipedia.org/wiki/Ferdinandea,
Places and infrastructure,Flannan Isles Lighthouse,https://en.wikipedia.org/wiki/Flannan_Isles_Lighthouse,
Places and infrastructure,Forest swastika,https://en.wikipedia.org/wiki/Forest_swastika,
Places and infrastructure,Free State of Bottleneck,https://en.wikipedia.org/wiki/Free_State_of_Bottleneck,
Places and infrastructure,"Fugging, Upper Austria",https://en.wikipedia.org/wiki/Fugging,_Upper_Austria
Places and infrastructure,Galešnjak,https://en.wikipedia.org/wiki/Gale%C5%A1njak,
Places and infrastructure,Gammalsvenskby,https://en.wikipedia.org/wiki/Gammalsvenskby,
Places and infrastructure,Gants Hill tube station,https://en.wikipedia.org/wiki/Gants_Hill_tube_station,
Places and infrastructure,Graun im Vinschgau,https://en.wikipedia.org/wiki/Graun_im_Vinschgau,
Places and infrastructure,Great Tower Neuwerk,https://en.wikipedia.org/wiki/Neuwerk,
Places and infrastructure,Greetings from Jerusalem Avenue,https://en.wikipedia.org/wiki/Greetings_from_Jerusalem_Avenue,
Places and infrastructure,Gropecunt Lane,https://en.wikipedia.org/wiki/Gropecunt_Lane,
Places and infrastructure,Grūtas Park,https://en.wikipedia.org/wiki/Gr%C5%ABtas_Park,
Places and infrastructure,Gutsbezirk Reinhardswald,https://en.wikipedia.org/wiki/Gutsbezirk_Reinhardswald,
Places and infrastructure,Hill of Crosses,https://en.wikipedia.org/wiki/Hill_of_Crosses,
Places and infrastructure,I Love You Will U Marry Me,https://en.wikipedia.org/wiki/I_Love_You_Will_U_Marry_Me,
Places and infrastructure,Icelandic Phallological Museum,https://en.wikipedia.org/wiki/Icelandic_Phallological_Museum,
Places and infrastructure,JASON reactor,https://en.wikipedia.org/wiki/JASON_reactor,
Places and infrastructure,Kielce Bus Station,https://en.wikipedia.org/wiki/Kielce_Bus_Station,
Places and infrastructure,Kőbánya cellar system,https://en.wikipedia.org/wiki/K%C5%91b%C3%A1nya_cellar_system,
Places and infrastructure,Krzywy Domek,https://en.wikipedia.org/wiki/Krzywy_Domek,
Places and infrastructure,Kursdorf,https://en.wikipedia.org/wiki/Kursdorf,
Places and infrastructure,Lacus Curtius,https://en.wikipedia.org/wiki/Lacus_Curtius,
Places and infrastructure,Lahn,https://en.wikipedia.org/wiki/Lahn_(city),
Places and infrastructure,Lake Karachay,https://en.wikipedia.org/wiki/Lake_Karachay,
Places and infrastructure,Leaning Tower of Suurhusen,https://en.wikipedia.org/wiki/Leaning_Tower_of_Suurhusen,
Places and infrastructure,List of destroyed landmarks in Spain,https://en.wikipedia.org/wiki/List_of_destroyed_landmarks_in_Spain,
Places and infrastructure,Listenbourg,https://en.wikipedia.org/wiki/Listenbourg,
Places and infrastructure,Llandegley International Airport,https://en.wikipedia.org/wiki/Llandegley_International_Airport,
Places and infrastructure,Llanfairpwllgwyngyll,https://en.wikipedia.org/wiki/Llanfairpwllgwyngyll,
Places and infrastructure,Lupanar,https://en.wikipedia.org/wiki/Lupanar,
Places and infrastructure,Magic Roundabout,https://en.wikipedia.org/wiki/Magic_Roundabout_(Swindon),
Places and infrastructure,Manneken Pis,https://en.wikipedia.org/wiki/Manneken_Pis,
Places and infrastructure,Märket,https://en.wikipedia.org/wiki/M%C3%A4rket,
Places and infrastructure,Metro-2,https://en.wikipedia.org/wiki/Metro-2,
Places and infrastructure,Monte Kaolino,https://en.wikipedia.org/wiki/Monte_Kaolino,
Places and infrastructure,Mount Athos,https://en.wikipedia.org/wiki/Mount_Athos,
Places and infrastructure,Municipalities of Liechtenstein,https://en.wikipedia.org/wiki/Municipalities_of_Liechtenstein,
Places and infrastructure,Museum of Broken Relationships,https://en.wikipedia.org/wiki/Museum_of_Broken_Relationships,
Places and infrastructure,Muzeon Park of Arts,https://en.wikipedia.org/wiki/Muzeon_Park_of_Arts,
Places and infrastructure,Neitokainen,https://en.wikipedia.org/wiki/Neitokainen,
Places and infrastructure,Nelson's Pillar,https://en.wikipedia.org/wiki/Nelson's_Pillar,
Places and infrastructure,Neutral Moresnet,https://en.wikipedia.org/wiki/Neutral_Moresnet,
Places and infrastructure,Newhaven Marine railway station,https://en.wikipedia.org/wiki/Newhaven_Marine_railway_station,
Places and infrastructure,New York–Dublin Portal,https://en.wikipedia.org/wiki/New_York–Dublin_Portal,
Places and infrastructure,Other World Kingdom,https://en.wikipedia.org/wiki/Other_World_Kingdom,
Places and infrastructure,Paradiskullen,https://en.wikipedia.org/wiki/Paradiskullen,
Places and infrastructure,Pheasant Island,https://en.wikipedia.org/wiki/Pheasant_Island,
Places and infrastructure,Piața Romană metro station,https://en.wikipedia.org/wiki/Pia%C8%9Ba_Roman%C4%83_metro_station,
Places and infrastructure,Pierre-sur-Haute military radio station,https://en.wikipedia.org/wiki/Pierre-sur-Haute_military_radio_station,
Places and infrastructure,Predjama Castle,https://en.wikipedia.org/wiki/Predjama_Castle,
Places and infrastructure,Punkendeich,https://en.wikipedia.org/wiki/Punkendeich,
Places and infrastructure,Reality Checkpoint,https://en.wikipedia.org/wiki/Reality_Checkpoint,
Places and infrastructure,Röstigraben,https://en.wikipedia.org/wiki/R%C3%B6stigraben,
Places and infrastructure,Saatse Boot,https://en.wikipedia.org/wiki/Saatse_Boot,
Places and infrastructure,Schwerbelastungskörper,https://en.wikipedia.org/wiki/Schwerbelastungsk%C3%B6rper,
Places and infrastructure,Scottish Court in the Netherlands,https://en.wikipedia.org/wiki/Scottish_Court_in_the_Netherlands,
Places and infrastructure,Sexi,https://en.wikipedia.org/wiki/Sexi_(Phoenician_colony),
Places and infrastructure,"Shell Grotto, Margate",https://en.wikipedia.org/wiki/Shell_Grotto,
Places and infrastructure,Shit Museum,https://en.wikipedia.org/wiki/Shit_Museum,
Places and infrastructure,Shitterton,https://en.wikipedia.org/wiki/Shitterton,
Places and infrastructure,Smallest House in Great Britain,https://en.wikipedia.org/wiki/Smallest_House_in_Great_Britain,
Places and infrastructure,SnowCastle of Kemi,https://en.wikipedia.org/wiki/SnowCastle_of_Kemi,
Places and infrastructure,Sovereign Military Order of Malta,https://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta,
Places and infrastructure,Spreuerhofstraße,https://en.wikipedia.org/wiki/Spreuerhofstra%C3%9Fe,
Places and infrastructure,Svalbard Global Seed Vault,https://en.wikipedia.org/wiki/Svalbard_Global_Seed_Vault,
Places and infrastructure,Transnistria,https://en.wikipedia.org/wiki/Transnistria,
Places and infrastructure,Uffington White Horse,https://en.wikipedia.org/wiki/Uffington_White_Horse,
Places and infrastructure,Unst Bus Shelter,https://en.wikipedia.org/wiki/Unst_Bus_Shelter,
Places and infrastructure,Uppland Runic Inscription 53,https://en.wikipedia.org/wiki/Uppland_Runic_Inscription_53,
Places and infrastructure,Vajdahunyad Castle,https://en.wikipedia.org/wiki/Vajdahunyad_Castle,
Places and infrastructure,Vatican Railway,https://en.wikipedia.org/wiki/Vatican_Railway,
Places and infrastructure,Vennbahn,https://en.wikipedia.org/wiki/Vennbahn,
Places and infrastructure,Veyshnoria,https://en.wikipedia.org/wiki/Veyshnoria,
Places and infrastructure,Victor Noir,https://en.wikipedia.org/wiki/Victor_Noir,
Places and infrastructure,Vilnius–Lublin Portal,https://en.wikipedia.org/wiki/Vilnius–Lublin_Portal,
Places and infrastructure,Weißwurstäquator,https://en.wikipedia.org/wiki/Wei%C3%9Fwursts%C3%A4quator,
Places and infrastructure,White's,https://en.wikipedia.org/wiki/White's,
Places and infrastructure,Whip-Ma-Whop-Ma-Gate,https://en.wikipedia.org/wiki/Whip-Ma-Whop-Ma-Gate,
Places and infrastructure,Wooden Spoons Museum,https://en.wikipedia.org/wiki/Wooden_Spoons_Museum,
Places and infrastructure,World Map at Lake Klejtrup,https://en.wikipedia.org/wiki/World_Map_at_Lake_Klejtrup,
Places and infrastructure,Wrocław Dwarfs,https://en.wikipedia.org/wiki/Wroc%C5%82aw_Dwarfs,
Places and infrastructure,Zeitpyramide,https://en.wikipedia.org/wiki/Zeitpyramide,
Places and infrastructure,Željava Air Base,https://en.wikipedia.org/wiki/%C5%BDeljava_Air_Base,
Places and infrastructure,Zone rouge,https://en.wikipedia.org/wiki/Zone_rouge_(First_World_War),
History,"0/10, would not buy again.",https://en.wikipedia.org/wiki/0/10,_would_not_buy_again.
History,Bollocks!,https://en.wikipedia.org/wiki/Bollocks!,
History,Bal des Ardents,https://en.wikipedia.org/wiki/Bal_des_Ardents,
History,Burned house horizon,https://en.wikipedia.org/wiki/Burned_house_horizon,
History,Cadaver Synod,https://en.wikipedia.org/wiki/Cadaver_Synod,
History,Cagots,https://en.wikipedia.org/wiki/Cagots,
History,Complaint tablet to Ea-nāṣir,https://en.wikipedia.org/wiki/Complaint_tablet_to_Ea-n%C4%81%E1%B9%A3ir,
History,Criterion of embarrassment,https://en.wikipedia.org/wiki/Criterion_of_embarrassment,
History,Daughter of Emperor Xiaoming of Northern Wei,https://en.wikipedia.org/wiki/Daughter_of_Emperor_Xiaoming_of_Northern_Wei,
History,Elagabalus,https://en.wikipedia.org/wiki/Elagabalus,
History,Erfurt latrine disaster,https://en.wikipedia.org/wiki/Erfurt_latrine_disaster,
History,Henry Symeonis,https://en.wikipedia.org/wiki/Henry_Symeonis,
History,House of Colleoni,https://en.wikipedia.org/wiki/House_of_Colleoni,
History,John the Posthumous,https://en.wikipedia.org/wiki/John_the_Posthumous,
History,Kottabos,https://en.wikipedia.org/wiki/Kottabos,
History,Máel Brigte of Moray,https://en.wikipedia.org/wiki/M%C3%A1el_Brigte_of_Moray,
History,Nika riots,https://en.wikipedia.org/wiki/Nika_riots,
History,Onfim,https://en.wikipedia.org/wiki/Onfim,
History,Phantom time conspiracy theory,https://en.wikipedia.org/wiki/Phantom_time_conspiracy_theory,
History,Pope Benedict IX,https://en.wikipedia.org/wiki/Pope_Benedict_IX,
History,Pope Celestine V,https://en.wikipedia.org/wiki/Pope_Celestine_V,
History,Pope Donus II,https://en.wikipedia.org/wiki/Pope_Donus_II,
History,Pre-Columbian transoceanic contact theories,https://en.wikipedia.org/wiki/Pre-Columbian_transoceanic_contact_theories,
History,Publius Afranius Potitus,https://en.wikipedia.org/wiki/Publius_Afranius_Potitus,
History,Roland The Farter,https://en.wikipedia.org/wiki/Roland_The_Farter,
History,Sacred Band of Thebes,https://en.wikipedia.org/wiki/Sacred_Band_of_Thebes,
History,Sanitation of the Indus Valley Civilisation,https://en.wikipedia.org/wiki/Sanitation_of_the_Indus_Valley_Civilisation,
History,Sino-Roman relations,https://en.wikipedia.org/wiki/Sino-Roman_relations,
History,Wise Men of Gotham,https://en.wikipedia.org/wiki/Wise_Men_of_Gotham,
History,Affair of the Sausages,https://en.wikipedia.org/wiki/Affair_of_the_Sausages,
History,Architecture terrible,https://en.wikipedia.org/wiki/Architecture_terrible,
History,Charles II of Spain,https://en.wikipedia.org/wiki/Charles_II_of_Spain,
History,Curonian colonisation,https://en.wikipedia.org/wiki/Curonian_colonization_of_the_Americas,
History,Dancing plague of 1518,https://en.wikipedia.org/wiki/Dancing_plague_of_1518,
History,Darien scheme,https://en.wikipedia.org/wiki/Darien_scheme,
History,Defenestrations of Prague,https://en.wikipedia.org/wiki/Defenestrations_of_Prague,
History,Timothy Dexter,https://en.wikipedia.org/wiki/Timothy_Dexter,
History,False Dmitry,https://en.wikipedia.org/wiki/False_Dmitry,
History,Glass delusion,https://en.wikipedia.org/wiki/Glass_delusion,
History,Gilles de Rais,https://en.wikipedia.org/wiki/Gilles_de_Rais,
History,Hospitaller colonization of the Americas,https://en.wikipedia.org/wiki/Hospitaller_colonization_of_the_Americas,
History,Loveday,https://en.wikipedia.org/wiki/Loveday_(Arthurian_legend),
History,Makassan contact with Australia,https://en.wikipedia.org/wiki/Makassan_contact_with_Australia,
History,May 1605 papal conclave,https://en.wikipedia.org/wiki/May_1605_papal_conclave,
History,The Miracle of 1511,https://en.wikipedia.org/wiki/The_Miracle_of_1511,
History,Mutiny on the Bounty,https://en.wikipedia.org/wiki/Mutiny_on_the_Bounty,
History,Nottingham cheese riot,https://en.wikipedia.org/wiki/Nottingham_cheese_riot,
History,Order of the Pug,https://en.wikipedia.org/wiki/Order_of_the_Pug,
History,George Psalmanazar,https://en.wikipedia.org/wiki/George_Psalmanazar,
History,Crown Prince Sado,https://en.wikipedia.org/wiki/Crown_Prince_Sado,
History,Yasuke,https://en.wikipedia.org/wiki/Yasuke,
History,The infrastructural shortcomings of Faraday's times,https://en.wikipedia.org/wiki/The_infrastructural_shortcomings_of_Faraday's_times,
History,Andrew Johnson's drunk vice-presidential inaugural address,https://en.wikipedia.org/wiki/Andrew_Johnson's_drunk_vice-presidential_inaugural_address,
History,Kinjirō Ashiwara,https://en.wikipedia.org/wiki/Kinjir%C5%8D_Ashiwara,
History,"John Bentinck, 5th Duke of Portland",https://en.wikipedia.org/wiki/John_Bentinck,_5th_Duke_of_Portland
History,Confederados,https://en.wikipedia.org/wiki/Confederados,
History,Drapetomania,https://en.wikipedia.org/wiki/Drapetomania,
History,Dublin whiskey fire,https://en.wikipedia.org/wiki/Dublin_whiskey_fire,
History,Emperor Norton,https://en.wikipedia.org/wiki/Emperor_Norton,
